Fuel Type Code,Station Name,Street Address,City,State,ZIP,Status Code,Groups With Access Code,Access Days Time,Cards Accepted,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Network,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,EV Connector Types
ELEC,PICOTTE 12 CORPORATE 4,12 Corporate Woods Blvd,Albany,NY,12211,E,Public,24 hours daily,,0,2,0,ChargePoint Network,GPS,42.68571,-73.76649,2024-10-29,166798,2024-10-29,,,,2020-09-11,J1772
ELEC,JAMESTOWN BPU PREND.4TH #2,325 E 4th St,Jamestown,NY,14701,E,Public,24 hours daily,,0,0,1,ChargePoint Network,GPS,42.097733,-79.23767,2024-10-29,214277,2024-10-29,,,,2022-04-19,CHADEMO J1772COMBO
ELEC,145 Pinelawn Rd,145 Pinelawn Rd,Melville,NY,11747,E,Public,24 hours daily,,0,4,0,LIVINGSTON,GPS,40.77103,-73.40868,2024-10-29,225123,2024-10-29,,,,2022-07-13,J1772
ELEC,Andaz Wall Street - Tesla Destination,75 Wall St,New York,NY,10005,E,Public,,,0,1,0,Tesla Destination,200-9,40.705115,-74.008089,2024-07-01,122491,2024-10-16,P,,,2015-07-16,TESLA
ELEC,LIVONIA CSD CONNELL 1,40 Spring St,Livonia,NY,14487,E,Public,24 hours daily,,0,2,0,ChargePoint Network,GPS,42.817151,-77.668095,2024-10-29,236736,2024-10-29,,,,2022-11-30,J1772
ELEC,Lakeland Park,11 Forman St,Cazenovia,NY,13035,E,Public,Dawn to dusk daily,,0,2,0,Non-Networked,200-8,42.929429,-75.859296,2024-03-14,88340,2024-03-14,LG,,,2017-10-01,J1772
ELEC,NATIONAL GRID CLARKSON U,8 Clarkson Ave,Potsdam,NY,13676,E,Public,24 hours daily,,0,2,0,ChargePoint Network,GPS,44.66277,-74.998241,2024-10-29,162363,2024-10-29,,,,2020-06-12,J1772
ELEC,"Town of East Hampton/Montauk, NY",70 South Euclid Ave,Montauk,NY,11954,E,Public,24 hours daily,,0,0,4,Electrify America,GPS,41.03591,-71.94349,2024-10-29,170247,2024-10-29,,,,2020-12-17,CHADEMO J1772COMBO
ELEC,Manlius Academy South,4719 Kehoe Ln,Manlius,NY,13104,E,Public,24 hours daily,,0,4,0,LIVINGSTON,GPS,42.99838,-75.9629,2024-10-29,223261,2024-10-29,,,,2022-03-31,J1772
ELEC,LIVONIA CSD MHS 1,2 Bulldog Blvd,Livonia,NY,14487,E,Public,24 hours daily,,0,2,0,ChargePoint Network,GPS,42.811611,-77.666312,2024-10-29,240888,2024-10-29,,,,2023-01-04,J1772
