id,station_name,city,state,ev_level1_evse_num,ev_level2_evse_num,ev_dc_fast_count,latitude,longitude
44190,Nissan of Smithtown,St. James,NY,0,1,1,40.86019,-73.16156
195667,33 Norman Ave,Brooklyn,NY,0,4,0,40.724591,-73.954512
324830,June Farms,West Sand Lake,NY,0,4,0,42.62807,-73.6279
120821,NY STATE PARKS LAKE TAGHKANIC,Ancram,NY,0,2,0,42.090954,-73.720052
240830,LIVONIA CSD ES 1,Livonia,NY,0,2,0,42.815314,-77.664885
189518,Hamilton Square 20 Mall,Guilderland,NY,0,10,0,42.69854,-73.89437
115028,iPark NYC E 77th Street - Tesla Destination,New York,NY,0,3,0,40.773415,-73.959234
356901,Resorts World Parking Garage - 3rd Floor,Queens,NY,0,49,0,40.67374,-73.832676
323325,BRISTOL MTN BRISTOL MNT 2,Canandaigua,NY,0,2,0,42.74577,-77.403573
226507,SPOT Cowork,Victor,NY,0,2,0,43.008882,-77.44963
261048,FISHKILL 60 MERRITT-2,Fishkill,NY,0,2,0,41.531481,-73.886729
223229,North Utica Shopping Center,Utica,NY,0,10,0,43.11457,-75.20804
318017,GMG DCFC AF 10050#1,Fort Edwards,NY,0,0,1,43.25214,-73.669685
65299,Jamestown Community College,Jamestown,NY,0,2,0,42.115968,-79.220087
250739,Grist Mill Restaurant - Tesla Supercharger,Parish,NY,0,0,8,43.408644,-76.114307
164713,Tribeca Green,New York,NY,0,2,0,40.71695,-74.014948
229916,Hales Mills Country Club,Johnstown,NY,0,4,0,43.018843,-74.317948
188043,ERIE COUNTY CPF FRANKLIN ST,Buffalo,NY,0,1,0,42.884396,-78.8763
346478,AMPHENOL 191 STATION 2,Sidney,NY,0,2,0,42.307114,-75.401068
320366,H2 BROOKHAVEN H22,Yaphank,NY,0,2,0,40.846087,-72.90006
175243,COLE GROUP COLUMBIA 1,Cohoes,NY,0,2,0,42.770966,-73.71627
202165,352 8th St,Brooklyn,NY,0,2,0,40.668517,-73.983283
333974,Ithacor - Ivy Ridge,Ithaca,NY,0,4,0,42.451886,-76.448701
124141,Coliseum Park Apts - Central Parking,New York,NY,0,1,0,40.768432,-73.984033
300604,TO SOUTHAMPTON GOOD GROUND,Hampton Bays,NY,0,2,0,40.88012,-72.525085
115045,MPG 201 E 56th - Tesla Destination,New York,NY,0,3,0,40.759437,-73.96767
257136,WESTBROOKE WBC LODEN LEFT,Rochester,NY,0,2,0,43.077349,-77.651623
145761,EPLLC LOCKHEED 6,Liverpool,NY,0,2,0,43.106487,-76.18796
306520,COMPETITION BMW DCWB 4,Saint James,NY,0,0,1,40.861075,-73.158235
261263,CNB VICTOR EV STATION 2,Victor,NY,0,2,0,42.982955,-77.411641
145534,CT4021-COURTHSE FRANKLINCOCOURT,Malone,NY,0,2,0,44.84974,-74.295105
324871,TDC Building 7,Plattsburgh,NY,0,4,0,44.6953,-73.51118
223834,G & M REALTY 2 STATION 3,LIC,NY,0,2,0,40.745399,-73.946226
357949,Lockheed Martin Owego Facility,Owego,NY,0,4,0,42.094415,-76.219302
223137,HVCC Child Care,Troy,NY,0,2,0,42.69276,-73.67845
331865,PANYNJ LGATCGARAGE 5-3,Queens,NY,0,1,0,40.769509,-73.865421
155290,MARKET 32 EV PEDIATRICEV1,Albany,NY,0,2,0,42.679023,-73.844938
180113,854ELLICOTT 854 ELLICOTT 6,Buffalo,NY,0,2,0,42.901752,-78.867526
236891,Van Patten Golf Club,Clifton Park,NY,0,50,0,42.9043,-73.82818
202953,COMMCTR 59 N PUTT2,New Paltz,NY,0,2,0,41.74775,-74.06456
213196,SJC SJC,Patchogue,NY,0,2,0,40.775278,-73.02523
357064,N Brooklyn YMCA - Parking Lot,Brooklyn,NY,0,4,0,40.68505,-73.88217
353051,Department of Emergency Services DES Garage,Valhalla,NY,0,6,0,41.080084,-73.814822
223111,The Ridge - Lot B,Troy,NY,0,4,0,42.7417,-73.63594
253700,TNC EVSE TRAIN STATION 5,Chappaqua,NY,0,2,0,41.157475,-73.774919
223245,Scarsdale Golf Club,Hartsdale,NY,0,4,0,41.01102,-73.7989
237839,534 BROADHOLLOW BACK PARKING 2,Melville,NY,0,2,0,40.77407,-73.42274
194161,AA TECH MAINTENANCE,Clyde,NY,0,2,0,43.084217,-76.87733
350575,SHINEMAN SOUTH LEE HALL 3,Oswego,NY,0,2,0,43.454023,-76.540843
189526,Summit Senior Life - Mill Hill,Slingerlands,NY,0,4,0,42.684,-73.90218
44348,Simmons Rockwell Nissan,Horseheads,NY,0,1,1,42.16262,-76.86773
157970,The Lodge at Grist Iron Brewing Co.,Burdett,NY,0,1,0,42.469877,-76.864653
238290,Oak Ave Parking Lot,Tuckahoe,NY,0,4,0,40.949697,-73.828941
174730,HARMONY MILLS 1 FALLSVIEW 1.5,Cohoes,NY,0,2,0,42.781628,-73.70534
182198,SSCCA SSCC - 01,Saratoga Springs,NY,0,2,0,43.084719,-73.782313
323942,PFIZER PR EV 20,Pearl River,NY,0,2,0,41.076756,-74.018024
335319,Integrated System,Victor,NY,0,10,0,42.995076,-77.447025
198011,Village of Sodus Point,Sodus Point,NY,0,2,0,43.270176,-76.98107
258981,MBOC WAY DC250 1,Woodbury,NY,0,0,1,41.316275,-74.142409
223097,HVCC Garage level 4,Troy,NY,0,4,0,42.6948,-73.68523
223276,Deer Valley Building 3,Guilderland,NY,0,4,0,42.67788,-73.86814
325258,Curry Acura,Scarsdale,NY,0,2,0,41.000038,-73.815852
230773,Belmont State Park,West Babylon,NY,0,2,0,40.737282,-73.33888
360823,COPIAGUELIBRARY COPIAGUE LIB2,Copiague,NY,0,2,0,40.668692,-73.401512
115200,The Alpine Lodge - Tesla Destination,North Creek,NY,0,2,0,43.700142,-73.986076
350667,Fayetteville Pines,Fayetteville,NY,0,10,0,43.02392,-76.01023
296058,TOWN OF RED HK FAST 1,Red Hook,NY,0,0,1,41.98738,-73.880117
230801,Long Island Jewish Medical Center,New Hyde Park,NY,0,8,0,40.753285,-73.70707
114911,GGMC Parking 66 Rockwell Pl Garage - Tesla Destination,Brooklyn,NY,0,3,0,40.688086,-73.979234
44204,Serafini Nissan-Volvo,Vestal,NY,0,1,0,42.095812,-76.003703
152282,MARKET 32 EV 290 SARATOGA RD,Schenectady,NY,0,2,0,42.87302,-73.929504
115005,Icon Parking 12 East 9th Street - Tesla Destination,New York,NY,0,3,0,40.732519,-73.995135
355501,CORTLAND HOSPIT GCMC 1 LEFT,Cortland,NY,0,2,0,42.609964,-76.187051
102339,Country Pointe Plainview - Tesla Supercharger,Plainview,NY,0,0,8,40.779854,-73.450709
102351,Westchester's Ridge Hill - Tesla Supercharger,Yonkers,NY,0,0,18,40.963395,-73.854936
236473,S.A.N.Y. STATION 3,Syracuse,NY,0,1,0,43.052082,-76.18029
356878,Barclay Tower - Garage,New York,NY,0,20,0,40.712224,-74.009106
223119,Greymoor Way - Building 1,Baldwinsville,NY,0,2,0,43.18182,-76.30039
196058,BORALEX EVSE1,South Glens Falls,NY,0,2,0,43.29583,-73.59526
350529,GREENSTARCOOPER GREENSTAR 1,Ithaca,NY,0,2,0,42.44546,-76.509693
316933,1 WATERLINE STATION#10,New York,NY,0,2,0,40.772896,-73.992546
115061,Champion Parking 230 W 55th Street - Tesla Destination,New York,NY,0,3,0,40.764748,-73.982676
349809,Hope Lake Lodge at Greek Peak Mountain Resort,Cortland,NY,4,0,0,42.51237,-76.14749
334105,Thermal Associates,Glens Falls,NY,0,2,0,43.318808,-73.653802
351416,167 Clinton Rd,New Hartford,NY,0,19,0,43.070185,-75.333651
115139,Quik Park 86th St. LLC - Tesla Destination,New York,NY,0,3,0,40.775968,-73.947846
333857,101-19 Rockaway Beach Blvd,Far Rockaway,NY,0,8,0,40.58309,-73.82213
227078,Chittenango Creek Walk,Chittenango,NY,0,2,0,43.044256,-75.867028
310787,Bill Rapp Super Store,Syracuse,NY,0,1,0,43.060966,-76.088572
